Ohio_STR;12/31/2018;GLOBAL LIQUIDITY RESERVE;IL-GLR;;INTERNATIONAL FUNDS;0.00;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEC9;6,403,093.75;AGENCY BONDS WITH COUPONS;6,600,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEE5;7,467,640.00;AGENCY BONDS WITH COUPONS;7,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEF2;1,975,315.61;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEH8;1,994,870.89;AGENCY BONDS WITH COUPONS;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEJ4;8,895,264.99;AGENCY BONDS WITH COUPONS;9,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEK1;3,959,414.67;AGENCY BONDS WITH COUPONS;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEL9;6,031,501.50;AGENCY BONDS WITH COUPONS;6,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FREDDIE MAC;3137EAEM7;21,067,078.66;AGENCY BONDS WITH COUPONS;21,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ALLYA 2018-1 A4;02007MAF7;4,456,060.00;ASSET BACKED NOTES AND BONDS;4,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWLT 2016-2 A3 (5/18-2/19);05582XAD4;3,022,057.81;ASSET BACKED NOTES AND BONDS;3,025,128.92;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWLT 2017-1 A3 (11/18-8/19);055657AC4;10,731,952.63;ASSET BACKED NOTES AND BONDS;10,763,031.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWLT 2017-1 A4 (8/19-10/19);055657AD2;8,949,572.00;ASSET BACKED NOTES AND BONDS;9,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWOT 2018-A A2A;09659QAB3;10,183,772.69;ASSET BACKED NOTES AND BONDS;10,216,338.55;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWOT 2018-A A3;09659QAD9;16,359,086.50;ASSET BACKED NOTES AND BONDS;16,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BMWOT 2018-A A4;09659QAE7;6,887,545.33;ASSET BACKED NOTES AND BONDS;7,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDL 2017-A A3;34531GAD3;8,019,121.19;ASSET BACKED NOTES AND BONDS;8,030,808.67;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDL 2017-A A4;34531GAE1;3,984,330.11;ASSET BACKED NOTES AND BONDS;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2016-A A3;34531PAD3;3,182,108.10;ASSET BACKED NOTES AND BONDS;3,189,012.49;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2017-A A4;34531EAE6;2,142,352.41;ASSET BACKED NOTES AND BONDS;2,179,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2017-B A2A;34531HAB5;2,807,037.04;ASSET BACKED NOTES AND BONDS;2,811,804.08;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2017-B A3;34531HAD1;14,316,361.11;ASSET BACKED NOTES AND BONDS;14,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2017-B A4;34531HAE9;2,205,206.00;ASSET BACKED NOTES AND BONDS;2,250,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FORDO 2017-C A3;34532AAD5;9,891,402.33;ASSET BACKED NOTES AND BONDS;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HAROT 2017-1 A3;43814TAC6;6,925,254.48;ASSET BACKED NOTES AND BONDS;6,983,337.21;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HAROT 2017-1 A4;43814TAD4;9,867,368.44;ASSET BACKED NOTES AND BONDS;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HAROT 2017-2 A2;43811BAB0;1,056,215.37;ASSET BACKED NOTES AND BONDS;1,056,222.13;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HAROT 2017-2 A3;43811BAC8;14,856,809.00;ASSET BACKED NOTES AND BONDS;15,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HAROT 2017-2 A4;43811BAD6;2,946,156.33;ASSET BACKED NOTES AND BONDS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;HART 2017-A A2A;44931PAB2;315,146.26;ASSET BACKED NOTES AND BONDS;315,096.43;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MBALT 2016-B A3 (2/18-12/18);58768MAC5;281,957.18;ASSET BACKED NOTES AND BONDS;281,974.86;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MBALT 2017-A A2A;58769DAB6;650,427.26;ASSET BACKED NOTES AND BONDS;650,377.04;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MBALT 2017-A A3;58769DAD2;14,466,196.56;ASSET BACKED NOTES AND BONDS;14,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;NAROT 2017-A A2A;654747AB0;414,714.92;ASSET BACKED NOTES AND BONDS;414,680.76;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;NAROT 2017-A A3;654747AD6;7,435,992.00;ASSET BACKED NOTES AND BONDS;7,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;TAOT 2017-A A3;89238MAD0;6,700,619.35;ASSET BACKED NOTES AND BONDS;6,742,647.48;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;TAOT 2017-C A2A;89237RAB4;10,205,642.55;ASSET BACKED NOTES AND BONDS;10,238,277.97;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;TAOT 2017-C A3;89237RAD0;16,781,740.89;ASSET BACKED NOTES AND BONDS;17,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;WOART 2017-B A2A;98161TAB1;7,730,787.64;ASSET BACKED NOTES AND BONDS;7,761,296.72;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;WOART 2017-B A3;98161TAD7;8,373,121.67;ASSET BACKED NOTES AND BONDS;8,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AH4R 2014-SFR2 A;02665UAA3;6,565,617.05;COMMERCIAL MORTGAGE BACKED - AMORTIZING;6,507,147.11;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;BACM 2017-BNK3 A4;06427DAS2;3,491,913.17;COMMERCIAL MORTGAGE BACKED - AMORTIZING;3,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;CFCRE 2011-C1 A4;12527EAD0;7,728,541.42;COMMERCIAL MORTGAGE BACKED - AMORTIZING;7,483,623.08;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;COMM 2012-CR2 A3;12624KAJ5;11,870,897.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;12,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;COMM 2012-CR2 A4;12624KAD8;1,993,007.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;2,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;COMM 2013-CR8 A5;12625KAE5;5,072,336.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;DBUBS 2011-LC1A A2;233050AB9;598,886.78;COMMERCIAL MORTGAGE BACKED - AMORTIZING;594,640.75;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;FHMS K061 A2;3137BTUM1;4,035,823.67;COMMERCIAL MORTGAGE BACKED - AMORTIZING;4,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2011-GC3 A4;36248FAG7;8,617,385.50;COMMERCIAL MORTGAGE BACKED - AMORTIZING;8,405,932.47;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2012-GCJ9 A3;36192PAJ5;930,171.61;COMMERCIAL MORTGAGE BACKED - AMORTIZING;947,975.80;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2013-GC16 A3;36248GAC4;6,138,931.05;COMMERCIAL MORTGAGE BACKED - AMORTIZING;5,884,367.39;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2013-GC16 A4;36248GAD2;1,091,621.33;COMMERCIAL MORTGAGE BACKED - AMORTIZING;1,045,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2014-GC18 A2;36252RAF6;199,731.84;COMMERCIAL MORTGAGE BACKED - AMORTIZING;199,384.33;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;GSMS 2017-GS5 A4;36252HAD3;5,009,990.33;COMMERCIAL MORTGAGE BACKED - AMORTIZING;5,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;JPMCC 2009-IWST A1;46634GAA9;1,784,389.41;COMMERCIAL MORTGAGE BACKED - AMORTIZING;1,768,126.34;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;JPMCC 2013-C13 A4;46640JAR8;17,519,115.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;17,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;JPMCC 2013-C16 A3;46641BAC7;1,026,686.17;COMMERCIAL MORTGAGE BACKED - AMORTIZING;1,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MSBAM 2013-C10 A5;61762MCC3;10,366,469.67;COMMERCIAL MORTGAGE BACKED - AMORTIZING;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MSBAM 2013-C9 A4;61762DAW1;15,273,120.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;15,400,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MSC 2011-C1 A4;617458AG9;9,364,366.19;COMMERCIAL MORTGAGE BACKED - AMORTIZING;9,118,663.68;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MSC 2013-WLSR A;61761XAA6;11,926,155.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;12,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;MSCBB 2016-MART A;61691BAA9;6,312,369.67;COMMERCIAL MORTGAGE BACKED - AMORTIZING;6,500,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;WFRBS 2011-C2 A4;92935JBC8;29,667,992.10;COMMERCIAL MORTGAGE BACKED - AMORTIZING;28,851,289.92;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;WFRBS 2011-C4 A4;92936CAJ8;10,424,908.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;WFRBS 2012-C6 A4;92936QAG3;3,171,487.00;COMMERCIAL MORTGAGE BACKED - AMORTIZING;3,150,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ABBOTT LABORATORIES;002824BE9;9,057,235.02;CORPORATE NOTES/BONDS;9,069,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ABBOTT LABORATORIES;002824BG4;7,932,910.95;CORPORATE NOTES/BONDS;7,565,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ABBVIE INC;00287YAP4;2,974,100.67;CORPORATE NOTES/BONDS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ACE INA HOLDINGS;00440EAR8;6,984,316.89;CORPORATE NOTES/BONDS;7,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AFFILIATED MANAGERS GROUP;008252AM0;15,967,253.61;CORPORATE NOTES/BONDS;15,437,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AIG GLOBAL FUNDING;00138CAF5;2,983,539.50;CORPORATE NOTES/BONDS;3,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;AIRGAS INC;009363AP7;9,997,722.22;CORPORATE NOTES/BONDS;10,000,000.00;FIXED INCOME;FI;1
Ohio_STR;12/31/2018;ALIBABA GROUP HLDG LTD SR;01609WAC6;9,975,016.66;CORPORATE NOTES/BONDS;10,000,000.00;FIXED INCOME;FI;1
