Ohio_STR;TEACHERS;GLOBAL LIQUIDITY RESERVE;;;INTERNATIONAL FUNDS;;GLOBAL CUSTODIAN LIQUIDITY RESERVE;I-GLR;0
Ohio_STR;TEACHERS;ALLIANT ENERGY CORPORATION;;977,562.00;COMMON STOCK;25,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALLSTATE CORP;;5,284,756.00;COMMON STOCK;71,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALPHABET INC;;3,328,290.00;COMMON STOCK;4,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALPHABET INC CL C;;2,396,501.00;COMMON STOCK;3,105.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALTABA INC;;835,272.00;COMMON STOCK;21,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ALTRIA GROUP INC;;7,147,434.00;COMMON STOCK;105,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMAZON.COM INC;;5,848,986.00;COMMON STOCK;7,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMDOCS LIMITED;;2,446,500.00;COMMON STOCK;42,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMEREN CORP.;;1,222,318.00;COMMON STOCK;23,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN ELECTRIC POWER;;2,058,792.00;COMMON STOCK;32,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN EXPRESS CO.;;318,544.00;COMMON STOCK;4,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN FINANCIAL GROUP INC.;;1,656,656.00;COMMON STOCK;18,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN INTL GROUP;;1,711,122.00;COMMON STOCK;26,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN TOWER CORP;;549,536.00;COMMON STOCK;5,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERICAN WATER WORKS CO INC;;4,869,828.00;COMMON STOCK;67,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERIPRISE FINANCIAL INC;;288,444.00;COMMON STOCK;2,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMERISOURCEBERGEN CORP;;2,330,062.00;COMMON STOCK;29,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMGEN INC;;1,388,995.00;COMMON STOCK;9,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AMPHENOL CORP-CL A;;2,278,080.00;COMMON STOCK;33,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANALOG DEVICES;;334,052.00;COMMON STOCK;4,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANDEAVOR;;332,310.00;COMMON STOCK;3,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANSYS INC;;943,398.00;COMMON STOCK;10,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANTERO RESOURCES CORP;;413,875.00;COMMON STOCK;17,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ANTHEM INC.;;2,228,435.00;COMMON STOCK;15,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AON PLC;;1,461,043.00;COMMON STOCK;13,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APACHE CORP.;;2,468,983.00;COMMON STOCK;38,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APPLE INC.;;20,639,124.00;COMMON STOCK;178,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APPLIED MATERIALS INC.;;3,533,565.00;COMMON STOCK;109,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APTAR GROUP INC.;;1,674,660.00;COMMON STOCK;22,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;APTIV PLC;;889,020.00;COMMON STOCK;13,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AQUA AMERICA INC;;1,769,356.00;COMMON STOCK;58,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARCH CAPITAL GROUP LTD;;94,919.00;COMMON STOCK;1,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARCHER DANIELS MIDLAND CO;;935,825.00;COMMON STOCK;20,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ARROW ELECTRONICS;;1,048,110.00;COMMON STOCK;14,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASHLAND GLOBAL HOLDINGS INC;;1,639,350.00;COMMON STOCK;15,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSOCIATED BANC-CORP.;;182,780.00;COMMON STOCK;7,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSURANT INC;;2,191,496.00;COMMON STOCK;23,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ASSURED GUARANTY LTD;;298,383.00;COMMON STOCK;7,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AT&T INC;;4,558,450.00;COMMON STOCK;107,182.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ATMOS ENERGY CORP.;;2,713,890.00;COMMON STOCK;36,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AUTOMATIC DATA PROC.;;7,831,836.00;COMMON STOCK;76,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AUTOZONE INC;;157,958.00;COMMON STOCK;200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AVERY DENNISON;;2,640,272.00;COMMON STOCK;37,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AVIS BUDGET GROUP INC;;260,428.00;COMMON STOCK;7,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;AVNET INC.;;404,685.00;COMMON STOCK;8,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BALL CORPORATION;;2,837,646.00;COMMON STOCK;37,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANK OF AMERICA CORP.;;603,330.00;COMMON STOCK;27,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANK OF HAWAII CORP;;1,454,516.00;COMMON STOCK;16,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BANKUNITED INC;;116,839.00;COMMON STOCK;3,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BARD C. R. INC.;;606,582.00;COMMON STOCK;2,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BAXTER INTL;;1,631,712.00;COMMON STOCK;36,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BB&T CORPORATION;;1,532,852.00;COMMON STOCK;32,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BECTON DICKINSON & COMPANY;;4,320,524.00;COMMON STOCK;26,098.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BEMIS CO.;;1,228,974.00;COMMON STOCK;25,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BERKLEY (WR) CORP;;405,711.00;COMMON STOCK;6,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BERKSHIRE HATHAWAY INC.;;7,708,954.00;COMMON STOCK;47,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BEST BUY COMPANY INC;;324,292.00;COMMON STOCK;7,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BIOMARIN PHARMACEUTICAL;;323,076.00;COMMON STOCK;3,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BLACKROCK INC;;2,207,132.00;COMMON STOCK;5,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOEING CO;;684,992.00;COMMON STOCK;4,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOOKING HOLDINGS INC;;1,172,848.00;COMMON STOCK;800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BOSTON SCIENTIFIC CORP.;;1,905,603.00;COMMON STOCK;88,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BRISTOL-MYERS SQUIBB;;1,361,652.00;COMMON STOCK;23,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROADCOM LTD;;4,257,329.00;COMMON STOCK;24,084.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROADRIDGE FINANCIAL;;2,804,490.00;COMMON STOCK;42,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROWN & BROWN INC;;376,824.00;COMMON STOCK;8,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BROWN-FORMAN -CL B;;651,340.00;COMMON STOCK;14,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BRUKER CORP;;548,562.00;COMMON STOCK;25,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BURLINGTON STORES INC;;576,300.00;COMMON STOCK;6,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;BWX TECHNOLOGIES INC;;1,508,600.00;COMMON STOCK;38,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;C.H.ROBINSON WORLDWIDE INC;;190,476.00;COMMON STOCK;2,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CABLE ONE INC;;310,865.00;COMMON STOCK;500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CABOT CORP;;1,248,338.00;COMMON STOCK;24,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CABOT OIL & GAS CORP.;;348,064.00;COMMON STOCK;14,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CADENCE DESIGN SYS INC;;2,922,998.00;COMMON STOCK;115,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CAMPBELL SOUP CO.;;2,739,291.00;COMMON STOCK;45,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CAPITAL ONE FINANCIAL CORP.;;1,264,980.00;COMMON STOCK;14,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARDINAL HEALTH INC.;;3,620,091.00;COMMON STOCK;50,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CARLISLE COS INC;;716,885.00;COMMON STOCK;6,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CATERPILLAR INC.;;1,187,072.00;COMMON STOCK;12,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CBS CORP. CL. B;;1,972,220.00;COMMON STOCK;31,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CDW CORP;;781,350.00;COMMON STOCK;15,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CELANESE CORP-SERIES A;;2,464,562.00;COMMON STOCK;31,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CENTENE CORP;;1,010,625.00;COMMON STOCK;17,884.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CENTERPOINT ENERGY INC;;778,624.00;COMMON STOCK;31,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CENTURYLINK INC;;254,446.00;COMMON STOCK;10,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHARLES RIVER LABORATORIES;;403,807.00;COMMON STOCK;5,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHARTER COMMUNICATIONS;;3,338,432.00;COMMON STOCK;11,595.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHEVRON CORP.;;3,927,061.00;COMMON STOCK;33,365.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHIMERA INVESTMENT CORP;;896,954.00;COMMON STOCK;52,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHUBB LIMITED;;3,192,548.00;COMMON STOCK;24,164.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CHURCH & DWIGHT INC;;1,643,868.00;COMMON STOCK;37,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CIGNA CORP.;;1,307,222.00;COMMON STOCK;9,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CIMAREX ENERGY;;1,087,200.00;COMMON STOCK;8,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINCINNATI FINANCIAL CORP.;;4,438,950.00;COMMON STOCK;58,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINEMARK HOLDINGS INC;;974,344.00;COMMON STOCK;25,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CINTAS CORP;;3,039,228.00;COMMON STOCK;26,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CISCO SYSTEMS;;347,530.00;COMMON STOCK;11,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CLOROX COMPANY;;3,012,502.00;COMMON STOCK;25,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CME GROUP INC;;1,972,485.00;COMMON STOCK;17,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CMS ENERGY CORP;;1,718,906.00;COMMON STOCK;41,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CNX RESOURCES CORP;;1,225,056.00;COMMON STOCK;67,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COCA COLA CO.;;2,508,330.00;COMMON STOCK;60,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COGNEX CORP.;;229,032.00;COMMON STOCK;3,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COLFAX CORP;;312,591.00;COMMON STOCK;8,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COLGATE PALMOLIVE;;510,432.00;COMMON STOCK;7,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMCAST CORP - CL A;;6,953,128.00;COMMON STOCK;100,697.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMERICA INC.;;1,348,578.00;COMMON STOCK;19,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMMERCE BANCSHARES;;1,905,880.00;COMMON STOCK;32,968.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COMPUTER SCIENCES;;1,877,672.00;COMMON STOCK;31,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONAGRA BRANDS INC;;1,574,090.00;COMMON STOCK;39,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONCHO RESOURCES INC;;503,880.00;COMMON STOCK;3,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONSOLIDATED EDISON INC.;;884,160.00;COMMON STOCK;12,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONSTELLATION BRANDS INC-A;;7,466,197.00;COMMON STOCK;48,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CONTINENTAL RESOURCES;;1,169,958.00;COMMON STOCK;22,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COOPER COMPANIES INC.;;944,622.00;COMMON STOCK;5,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COPA HOLDINGS SA-CLASS A;;808,387.00;COMMON STOCK;8,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COPART INC;;1,856,235.00;COMMON STOCK;33,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CORNING INC;;1,092,150.00;COMMON STOCK;45,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;COSTCO WHOLESALE CORP.;;2,673,837.00;COMMON STOCK;16,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CRANE CO;;1,031,316.00;COMMON STOCK;14,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CROWN CASTLE INTL CO;;329,726.00;COMMON STOCK;3,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CSX CORP.;;431,160.00;COMMON STOCK;12,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CULLEN/FROST BANKERS INC;;326,451.00;COMMON STOCK;3,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CUMMINS INC.;;833,687.00;COMMON STOCK;6,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CVS HEALTH CORP;;5,669,131.00;COMMON STOCK;71,843.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;CYPRESS SEMICONDUCTOR CORP;;318,032.00;COMMON STOCK;27,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;D.R. HORTON INC.;;1,399,296.00;COMMON STOCK;51,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DANAHER CORP;;1,953,784.00;COMMON STOCK;25,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DELL TECHNOLOGIES - CL V;;670,634.00;COMMON STOCK;12,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DELTA AIR LINES INC;;265,626.00;COMMON STOCK;5,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DENTSPLY SIRONA INC;;4,043,294.00;COMMON STOCK;70,038.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DEVON ENERGY CORPORATION;;347,092.00;COMMON STOCK;7,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DIAMONDBACK ENERGY INC;;2,344,592.00;COMMON STOCK;23,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DICKS SPORTING GOODS INC;;377,010.00;COMMON STOCK;7,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DISCOVER FINANCIAL;;3,936,114.00;COMMON STOCK;54,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DISNEY (WALT) CO.;;5,855,288.00;COMMON STOCK;56,182.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOLBY LABORATORIES INC-CL A;;858,610.00;COMMON STOCK;19,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOLLAR TREE INC;;293,284.00;COMMON STOCK;3,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOMINO'S PIZZA INC;;923,592.00;COMMON STOCK;5,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DONALDSON CO INC;;610,160.00;COMMON STOCK;14,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOVER CORP.;;576,961.00;COMMON STOCK;7,700.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DOWDUPONT INC.;;1,401,890.00;COMMON STOCK;24,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DST SYSTEMS INC;;1,617,965.00;COMMON STOCK;15,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DTE ENERGY COMPANY;;2,157,369.00;COMMON STOCK;21,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;DUN & BRADSTREET CORP;;1,116,144.00;COMMON STOCK;9,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EAGLE MATERIALS INC;;403,973.00;COMMON STOCK;4,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EASTMAN CHEMICAL CO.;;391,092.00;COMMON STOCK;5,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EATON CORP PLC;;959,387.00;COMMON STOCK;14,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EATON VANCE CORP.;;1,063,752.00;COMMON STOCK;25,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EBAY INC;;528,482.00;COMMON STOCK;17,800.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ECOLAB INC;;3,270,438.00;COMMON STOCK;27,900.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EDISON INTERNATIONAL;;863,880.00;COMMON STOCK;12,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EDWARDS LIFESCIENCES;;4,909,880.00;COMMON STOCK;52,400.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ELECTRONIC ARTS INC;;1,984,752.00;COMMON STOCK;25,200.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ELI LILLY & COMPANY;;441,300.00;COMMON STOCK;6,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EMERSON ELECTRIC CO;;1,009,075.00;COMMON STOCK;18,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ENDURANCE SPECIALTY;;674,520.00;COMMON STOCK;7,300.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ENERGEN CORP.;;380,622.00;COMMON STOCK;6,600.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ENERGIZER HOLDINGS, INC.;;914,505.00;COMMON STOCK;20,500.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ENTERGY CORP.;;808,170.00;COMMON STOCK;11,000.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EOG RESOURCES INC;;717,810.00;COMMON STOCK;7,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;EQUIFAX INC;;5,450,403.00;COMMON STOCK;46,100.00;INTECH (Q);5IN;0
Ohio_STR;TEACHERS;ERIE INDTY CO;;764,660.00;COMMON STOCK;6,800.00;INTECH (Q);5IN;0
